Número;Nombre;Apellido;Direccion;Telefono;Codigo Servicio;Rotacion;Salario;
12;Davenport;Lindsay;56 rue des Muletiers, 78660 Ablis;01 04 70 01 65;REA;JOUR;1256.78;
15;Haas;Tommy;68 Av. Pasteur, 78000 Versailles;15;CHG;JOUR;1178.48;
22;Gicquel;Marc;67 rue de la Fontaine, 78300 Poissy;01 08 70 19 78;REA;JOUR;1498.21;
25;Benneteauuu;Julien;32 rue Signoret, 78430 Louveciennes;25;CAR;JOUR;1574.25;
29;Pavel;Andrei;5 rue du Plan, 78300 Poissy;01 10 70 10 74;CHG;JOUR;1358.45;
45;Schnyder;Patty;50 rue Villars, 78130 Les Mureaux;01 15 71 25 67;CAR;JOUR;1465.25;
57;Pennetta;Flavia;48 rue de l'Ecole, 78120 Rambouillet;01 18 60 41 33;CHG;JOUR;1765.21;
71;Berdych;Tomas;29 rue Lieutaud, 78430 Louveciennes;01 23 71 09 99;CAR;NUIT;1335.86;
73;Cornet;Alize;24 rue des Bremondis, 78000 Versailles;01 25 71 11 66;REA;NUIT;1473.29;
95;Sugiyama;Ai;34 rue des Carmes, 78000 Versailles;01 38 62 11 31;CAR;NUIT;1947.61;
97;Canas;Guillermo;51 rue Villevieille, 78120 Rambouillet;01 38 71 12 60;CHG;NUIT;1184.26;
127;Clement;Arnaud;10 rue Granet, 78000 Versailles;01 61 47 28 67;REA;NUIT;1267.38;
139;Molik;Alicia;18 rue d'Italie, 78870 Bailly;01 67 36 09 91;CHG;NUIT;2034.82;
162;Williams;Serena;27 rue Boueno Carriero, 78310 Maurepas;01 89 53 35 89;CHG;NUIT;1381.29;
49;Kremer;Anne;15 rue Baratanque, 78130 Les Mureaux;01 17 37 09 65;REA;JOUR;1256.78;
86;Vaidisova;Nicole;69 rue Paul Bert, 78870 Bailly;01 32 70 13 51;CHG;JOUR;1178.48;
98;Lopez;Feliciano;39 rue Chastel, 78190 Trappes;01 39 71 19 90;CAR;JOUR;1498.21;
116;Ancic;Mario;47 rue des Menudieres, 78870 Bailly;01 54 53 00 90;REA;JOUR;1574.25;
130;Ljubicic;Ivan;9 rue Goyrand, 78120 Rambouillet;01 64 73 66 30;CHG;JOUR;1358.45;
131;Harkleroad;Ashley;64 rue Finsonius, 78000 Versailles;01 66 43 02 49;CAR;JOUR;1465.25;
151;Baghdatis;Marcos;58 rue Fauchier, 78990 Elancourt;01 80 43 39 73;CHG;JOUR;1765.21;
155;Simon;Gilles;42 rue des Marseillais, 78190 Trappes;01 82 53 18 73;CHG;NUIT;1335.86;
163;Bartoli;Marion;8 rue Gontard, 78112 Fourqueux;01 89 53 56 26;CAR;NUIT;1473.29;
169;Roddick;Andy;62 rue Fernand Dol, 78530 Buc;01 91 53 36 33;CAR;NUIT;1947.61;
176;Serra;Florent;50 place Miollis, 78300 Poissy;01 92 71 13 64;CHG;NUIT;1184.26;
189;Razzano;Virginie;29 cours Saint Louis, 78660 Ablis;01 96 37 14 82;REA;NUIT;1267.38;
194;Blake;James;33 rue Suffren, 78310 Maurepas;01 98 53 39 89;CHG;NUIT;2034.82;
195;Mayer;Florian;54 rue de Montigny, 78000 Versailles;01 99 61 09 68;CHG;NUIT;1381.29;
900;Nombre;Apellido;Calle;8179218;CHG;JOUR;2000.30;
